발생년,발생년0일시,발생분,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,법규위반_대분류,법규위반,도로형태_대분류,도로형태,당사자종별_1당_대분류,당사자종별_1당,당사자종별_2당_대분류,당사자종별_2당,발생위치X_UTMK,발생위치Y_UTMK,경도,위도
2017,2017063023,14,1,4,1,1,0,0,0,경기,성남시,1,0,0,0,0,0,0,0,0,12,12,967633,1937456,127.1341305,37.4357039
2017,2017063021,45,1,4,1,4,2,1,0,전남,곡성군,0,5,5,0,0,0,0,0,0,0,0,966456,1696405,127.1312203,35.2625338
2017,2017063021,50,1,4,1,1,0,0,0,충남,서산시,1,6,6,0,0,0,0,0,0,12,12,900057,1865697,126.3799216,36.7841423
2017,2017063019,10,1,4,1,1,0,0,0,대구,서구,0,3,3,0,0,1,1,0,0,2,2,1095230,1764891,128.5549446,35.87597321
2017,2017063017,2,0,4,1,2,1,0,0,서울,영등포구,0,3,3,0,1,0,4,2,2,1,1,947576,1946355,126.9067859,37.51499339
2017,2017063010,59,0,4,1,1,0,0,0,광주,서구,0,3,3,0,5,0,0,2,2,0,0,939085,1681915,126.8313916,35.13059302
2017,2017063009,45,0,4,1,3,2,0,0,대구,달성군,0,3,3,0,4,1,2,0,0,1,1,1086800,1742412,128.4591336,35.67410855
2017,2017063008,20,0,4,1,1,0,0,0,경기,용인시,1,0,0,0,2,0,0,1,1,12,12,964452,1924850,127.0987797,37.32196131
2017,2017063006,30,0,4,1,1,0,0,0,충남,서산시,0,3,3,0,0,0,0,1,1,2,2,917238,1855415,126.5735613,36.69312121
2017,2017063004,0,1,4,1,2,0,1,0,전남,광양시,0,11,11,0,0,0,0,1,1,0,0,1024580,1665614,127.769316,34.98514675
2017,2017063004,35,1,4,1,1,0,0,0,광주,광산구,2,8,8,0,0,0,6,0,0,13,13,939234,1688087,126.8325791,35.18598738
2017,2017063002,30,1,4,1,1,0,0,0,부산,중구,1,11,11,0,0,0,0,0,0,12,12,1139565,1680208,129.0313121,35.10740361
2017,2017063000,50,1,4,1,1,0,0,0,충북,음성군,2,18,21,0,0,1,1,0,0,13,13,1013426,1889385,127.6509001,37.00285765
2017,2017062922,7,1,3,1,1,0,0,0,경기,화성시,2,8,8,0,0,0,0,0,0,13,13,955923,1911190,127.0033274,37.1984687
2017,2017062918,55,1,3,1,1,0,0,0,강원,원주시,1,0,0,0,0,0,0,0,0,12,12,1038959,1930411,127.9400107,37.37194933
2017,2017062914,40,0,3,1,1,0,0,0,경기,고양시,2,8,8,0,0,0,0,3,3,13,13,930200,1964377,126.7084606,37.67626847
2017,2017062913,20,0,3,1,1,0,0,0,충남,논산시,0,5,5,0,4,0,0,9,9,2,2,959733,1797362,127.0522465,36.17252393
2017,2017062913,45,0,3,1,1,0,0,0,광주,동구,1,11,11,0,0,0,0,1,1,12,12,948035,1685052,126.929464,35.15952432
2017,2017062908,30,0,3,1,3,2,0,0,경남,고성군,1,9,9,0,0,0,0,0,0,12,12,1070708,1682810,128.2761656,35.13802209
2017,2017062908,37,0,3,1,8,0,7,0,경기,안산시,1,0,0,0,0,1,3,4,4,12,12,944009,1922831,126.8682081,37.30275597
2017,2017062904,35,1,3,1,2,1,0,0,전남,목포시,2,8,8,0,4,0,0,0,0,13,13,901907,1647454,126.4274467,34.81697936
2017,2017062903,10,1,3,1,1,0,0,0,서울,강서구,1,0,0,0,0,0,0,0,0,12,12,941444,1949265,126.837825,37.54102735
2017,2017062903,10,1,3,1,2,1,0,0,경기,시흥시,0,3,3,0,0,0,0,1,1,1,1,944372,1931079,126.8716848,37.37712003
2017,2017062902,25,1,3,1,1,0,0,0,경기,이천시,1,11,11,0,0,0,0,1,1,12,12,991765,1922499,127.407079,37.30141324
2017,2017062901,0,1,3,1,1,0,0,0,부산,사상구,2,4,4,0,0,2,12,0,0,13,13,1134536,1685054,128.9770167,35.15173851
2017,2017062901,54,1,3,1,1,0,0,0,경기,고양시,1,0,0,0,0,0,0,0,0,12,12,939903,1956444,126.8191388,37.60545696
2017,2017062900,20,1,3,1,1,0,0,0,서울,광진구,2,11,11,0,0,0,0,7,7,13,13,964892,1949694,127.1025635,37.5459107
2017,2017062823,20,1,2,1,2,0,1,0,서울,서대문구,0,3,3,0,0,0,0,2,2,2,2,949058,1953280,126.9230741,37.5774924
2017,2017062822,10,1,2,1,1,0,0,0,경기,양평군,2,4,4,0,0,1,2,0,0,13,13,1001018,1944482,127.5115171,37.49959994
2017,2017062821,18,1,2,1,1,0,0,0,경기,남양주시,0,11,11,0,1,0,0,7,7,0,0,977864,1960836,127.249073,37.64674131
2017,2017062820,31,1,2,1,2,0,1,0,서울,동작구,0,1,1,0,1,0,6,2,2,0,0,954153,1942057,126.9797307,37.47669603
2017,2017062820,27,1,2,1,1,0,0,0,부산,기장군,1,0,0,0,0,1,1,4,4,12,12,1158326,1704285,129.24179,35.32159875
2017,2017062819,30,1,2,1,5,1,3,0,충남,예산군,0,3,3,0,2,1,2,0,0,1,1,934902,1837831,126.7727659,36.53598835
2017,2017062817,30,0,2,1,3,0,2,0,인천,남구,0,5,5,0,0,1,1,0,0,0,0,924169,1939738,126.6426241,37.45372938
2017,2017062817,50,0,2,1,3,1,1,0,전남,여수시,0,3,3,0,0,1,2,0,0,0,0,1006358,1644061,127.5692129,34.79110803
2017,2017062816,30,0,2,1,1,0,0,0,충북,제천시,0,1,1,0,1,0,0,2,2,1,1,1055144,1906210,128.1210053,37.15299238
