Year,Hour,Minute,AM/PM,DAY,Deadpp,Totalpp,Bhurtpp,Shurtpp,Churtpp,Btype,Mtype,Type,Blaw,Law,Broad,Road,B1people,B2people,,,,,,,,
2017,2017063023,14,1,4,1,1,0,0,0,1,0,0,0,0,0,0,0,12,,,,,,,,
2017,2017063021,45,1,4,1,4,2,1,0,0,5,5,0,0,0,0,0,0,,,,,,,,
2017,2017063021,50,1,4,1,1,0,0,0,1,6,6,0,0,0,0,0,12,,,,,,,,
2017,2017063019,10,1,4,1,1,0,0,0,0,3,3,0,0,1,1,0,2,,,,,,,,
2017,2017063017,2,0,4,1,2,1,0,0,0,3,3,0,1,0,4,2,1,,,,,,,,
2017,2017063010,59,0,4,1,1,0,0,0,0,3,3,0,5,0,0,2,0,,,,,,,,
2017,2017063009,45,0,4,1,3,2,0,0,0,3,3,0,4,1,2,0,1,,,,,,,,
2017,2017063008,20,0,4,1,1,0,0,0,1,0,0,0,2,0,0,1,12,,,,,,,,
2017,2017063006,30,0,4,1,1,0,0,0,0,3,3,0,0,0,0,1,2,,,,,,,,
2017,2017063004,0,1,4,1,2,0,1,0,0,11,11,0,0,0,0,1,0,,,,,,,,
2017,2017063004,35,1,4,1,1,0,0,0,2,8,8,0,0,0,6,0,13,,,,,,,,
2017,2017063002,30,1,4,1,1,0,0,0,1,11,11,0,0,0,0,0,12,,,,,,,,
2017,2017063000,50,1,4,1,1,0,0,0,2,18,21,0,0,1,1,0,13,,,,,,,,
2017,2017062922,7,1,3,1,1,0,0,0,2,8,8,0,0,0,0,0,13,,,,,,,,
2017,2017062918,55,1,3,1,1,0,0,0,1,0,0,0,0,0,0,0,12,,,,,,,,
2017,2017062914,40,0,3,1,1,0,0,0,2,8,8,0,0,0,0,3,13,,,,,,,,
2017,2017062913,20,0,3,1,1,0,0,0,0,5,5,0,4,0,0,9,2,,,,,,,,
2017,2017062913,45,0,3,1,1,0,0,0,1,11,11,0,0,0,0,1,12,,,,,,,,
2017,2017062908,30,0,3,1,3,2,0,0,1,9,9,0,0,0,0,0,12,,,,,,,,
2017,2017062908,37,0,3,1,8,0,7,0,1,0,0,0,0,1,3,4,12,,,,,,,,
2017,2017062904,35,1,3,1,2,1,0,0,2,8,8,0,4,0,0,0,13,,,,,,,,
2017,2017062903,10,1,3,1,1,0,0,0,1,0,0,0,0,0,0,0,12,,,,,,,,
2017,2017062903,10,1,3,1,2,1,0,0,0,3,3,0,0,0,0,1,1,,,,,,,,
2017,2017062902,25,1,3,1,1,0,0,0,1,11,11,0,0,0,0,1,12,,,,,,,,
2017,2017062901,0,1,3,1,1,0,0,0,2,4,4,0,0,2,12,0,13,,,,,,,,
2017,2017062901,54,1,3,1,1,0,0,0,1,0,0,0,0,0,0,0,12,,,,,,,,
2017,2017062900,20,1,3,1,1,0,0,0,2,11,11,0,0,0,0,7,13,,,,,,,,
2017,2017062823,20,1,2,1,2,0,1,0,0,3,3,0,0,0,0,2,2,,,,,,,,
2017,2017062822,10,1,2,1,1,0,0,0,2,4,4,0,0,1,2,0,13,,,,,,,,
2017,2017062821,18,1,2,1,1,0,0,0,0,11,11,0,1,0,0,7,0,,,,,,,,
2017,2017062820,31,1,2,1,2,0,1,0,0,1,1,0,1,0,6,2,0,,,,,,,,
2017,2017062820,27,1,2,1,1,0,0,0,1,0,0,0,0,1,1,4,12,,,,,,,,
2017,2017062819,30,1,2,1,5,1,3,0,0,3,3,0,2,1,2,0,1,,,,,,,,
2017,2017062817,30,0,2,1,3,0,2,0,0,5,5,0,0,1,1,0,0,,,,,,,,
2017,2017062817,50,0,2,1,3,1,1,0,0,3,3,0,0,1,2,0,0,,,,,,,,
2017,2017062816,30,0,2,1,1,0,0,0,0,1,1,0,1,0,0,2,1,,,,,,,,
2017,2017062815,28,0,2,1,3,2,0,0,0,5,5,0,0,0,0,1,1,,,,,,,,
2017,2017062813,0,0,2,1,1,0,0,0,2,18,20,0,0,0,0,5,13,,,,,,,,
2017,2017062808,2,0,2,1,2,1,0,0,0,3,3,0,8,1,2,0,8,,,,,,,,
2017,2017062808,40,0,2,1,1,0,0,0,0,11,11,0,1,0,0,0,2,,,,,,,,
2017,2017062800,15,1,2,1,2,1,0,0,0,11,11,0,2,1,2,0,7,,,,,,,,
2017,2017062722,30,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,12,,,,,,,,
2017,2017062721,10,1,1,1,1,0,0,0,1,0,0,0,0,2,12,0,12,,,,,,,,
2017,2017062717,0,0,1,1,2,0,1,0,0,11,11,0,0,0,0,0,8,,,,,,,,
2017,2017062716,15,0,1,1,3,0,2,0,0,3,3,0,6,1,2,2,4,,,,,,,,
2017,2017062716,46,0,1,1,2,0,1,0,0,11,11,0,1,1,1,0,1,,,,,,,,
2017,2017062715,50,0,1,1,1,0,0,0,2,2,2,0,0,0,0,0,13,,,,,,,,
2017,2017062715,30,0,1,1,1,0,0,0,1,0,0,0,2,1,2,1,12,,,,,,,,
2017,2017062712,23,0,1,1,1,0,0,0,1,11,11,0,4,0,0,1,12,,,,,,,,
2017,2017062712,30,0,1,1,3,0,2,0,0,3,3,0,2,1,2,0,0,,,,,,,,
2017,2017062711,20,0,1,1,4,0,3,0,0,5,5,0,0,0,0,1,1,,,,,,,,
2017,2017062704,41,1,1,1,1,0,0,0,1,0,0,0,3,0,0,0,12,,,,,,,,
2017,2017062703,32,1,1,1,1,0,0,0,2,2,2,0,0,0,0,2,13,,,,,,,,
2017,2017062622,10,1,0,1,1,0,0,0,1,11,11,0,0,1,2,4,12,,,,,,,,
2017,2017062621,5,1,0,1,1,0,0,0,0,3,3,0,2,1,2,2,1,,,,,,,,
2017,2017062620,5,1,0,1,4,2,1,0,0,3,3,0,0,0,0,4,8,,,,,,,,
2017,2017062619,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,12,,,,,,,,
2017,2017062616,13,0,0,1,1,0,0,0,2,12,12,0,0,0,0,5,13,,,,,,,,
2017,2017062614,38,0,0,1,2,1,0,0,0,11,11,0,0,0,0,0,0,,,,,,,,
2017,2017062612,15,0,0,1,1,0,0,0,2,4,4,0,0,0,0,0,13,,,,,,,,
2017,2017062611,15,0,0,1,4,1,2,0,0,11,11,0,0,0,0,4,3,,,,,,,,
2017,2017062609,0,0,0,2,3,1,0,0,0,1,1,0,1,0,0,0,1,,,,,,,,
2017,2017062523,17,1,6,1,2,1,0,0,1,0,0,0,4,1,1,2,12,,,,,,,,
2017,2017062520,50,1,6,1,1,0,0,0,1,0,0,0,0,1,3,0,12,,,,,,,,
2017,2017062515,45,0,6,1,1,0,0,0,2,8,8,0,0,0,0,1,13,,,,,,,,
2017,2017062513,51,0,6,1,1,0,0,0,0,5,5,0,0,0,0,2,0,,,,,,,,
